"year","hour","season","holiday","workingday","weather","temp","atemp","humidity","windspeed","count","segment_horari"
"2011",4,"Primavera","0","0","Bo",21.32,25,100,0,13,"Matinada"
"2011",1,"Primavera","0","1","Molt Bo",18.86,22.725,72,8.9981,114,"Matinada"
"2011",6,"Primavera","0","0","Dolent",16.4,20.455,82,22.0028,10,"Matinada"
"2011",10,"Hivern","0","0","Molt Bo",5.74,5.305,43,26.0027,49,"Matí"
"2011",12,"Primavera","0","1","Dolent",22.96,26.515,83,27.9993,153,"Matí"
"2012",0,"Estiu","0","1","Molt Bo",27.06,31.06,69,0,76,"Matinada"
"2012",12,"Primavera","0","1","Molt Bo",22.14,25.76,22,19.0012,259,"Matí"
"2011",2,"Estiu","0","1","Molt Bo",27.06,29.545,89,0,7,"Matinada"
"2012",0,"Estiu","0","1","Molt Bo",31.16,36.365,66,11.0014,53,"Matinada"
"2012",17,"Tardor","0","1","Dolent",22.96,26.515,60,16.9979,646,"Vespre"
"2012",21,"Primavera","0","0","Molt Bo",20.5,24.24,20,12.998,234,"Vespre"
"2012",3,"Tardor","0","1","Dolent",14.76,16.665,87,23.9994,5,"Matinada"
"2011",7,"Primavera","0","1","Dolent",14.76,17.425,100,15.0013,70,"Matinada"
"2012",16,"Tardor","0","1","Molt Bo",18.86,22.725,41,23.9994,520,"Matí"
"2012",7,"Estiu","0","0","Molt Bo",26.24,29.545,78,19.0012,48,"Matinada"
"2011",11,"Estiu","0","1","Bo",29.52,34.09,66,6.0032,165,"Matí"
"2011",14,"Hivern","0","1","Molt Bo",10.66,12.88,52,15.0013,63,"Matí"
"2012",10,"Hivern","0","1","Bo",10.66,12.88,70,15.0013,108,"Matí"
"2012",9,"Estiu","0","1","Bo",29.52,34.09,62,12.998,367,"Matí"
"2011",12,"Primavera","0","0","Bo",17.22,21.21,88,8.9981,230,"Matí"
"2011",8,"Tardor","0","1","Bo",20.5,24.24,51,16.9979,414,"Matinada"
"2012",10,"Hivern","0","1","Bo",7.38,9.85,93,11.0014,83,"Matí"
"2012",14,"Estiu","0","1","Molt Bo",33.62,39.395,56,7.0015,211,"Matí"
"2012",4,"Hivern","0","1","Molt Bo",9.02,11.365,69,8.9981,3,"Matinada"
"2012",8,"Tardor","0","0","Bo",9.84,12.12,87,8.9981,144,"Matinada"
"2011",5,"Hivern","0","1","Molt Bo",10.66,11.365,81,22.0028,2,"Matinada"
"2011",14,"Tardor","0","1","Molt Bo",20.5,24.24,45,11.0014,172,"Matí"
"2012",3,"Estiu","0","1","Molt Bo",28.7,33.335,84,0,7,"Matinada"
"2011",1,"Tardor","0","1","Bo",18.86,22.725,88,0,11,"Matinada"
"2011",12,"Hivern","0","1","Bo",8.2,12.88,86,0,55,"Matí"
"2011",6,"Tardor","0","0","Molt Bo",16.4,20.455,71,0,20,"Matinada"
"2012",0,"Tardor","0","1","Bo",12.3,14.395,56,19.0012,283,"Matinada"
"2011",21,"Tardor","0","1","Molt Bo",14.76,16.665,57,16.9979,136,"Vespre"
"2011",23,"Estiu","0","1","Molt Bo",27.88,31.82,69,15.0013,139,"Vespre"
"2011",22,"Primavera","0","1","Molt Bo",26.24,31.06,33,16.9979,155,"Vespre"
"2011",18,"Estiu","0","0","Molt Bo",32.8,36.365,46,19.9995,390,"Vespre"
"2012",17,"Primavera","0","1","Molt Bo",25.42,31.06,43,8.9981,646,"Vespre"
"2012",20,"Tardor","1","0","Dolent",16.4,20.455,71,15.0013,227,"Vespre"
"2012",0,"Tardor","0","1","Molt Bo",10.66,12.12,48,19.0012,44,"Matinada"
"2011",1,"Tardor","0","1","Molt Bo",19.68,23.485,77,11.0014,11,"Matinada"
"2011",2,"Tardor","1","0","Molt Bo",13.12,14.395,57,19.0012,11,"Matinada"
"2011",11,"Estiu","1","0","Bo",31.16,34.85,55,6.0032,349,"Matí"
"2011",4,"Estiu","0","1","Molt Bo",24.6,29.545,73,11.0014,10,"Matinada"
"2012",4,"Tardor","0","1","Molt Bo",17.22,21.21,67,11.0014,7,"Matinada"
"2012",8,"Tardor","0","0","Molt Bo",12.3,15.15,56,8.9981,149,"Matinada"
"2012",1,"Estiu","0","0","Molt Bo",27.06,31.06,74,15.0013,116,"Matinada"
"2011",2,"Estiu","0","1","Molt Bo",25.42,30.305,69,0,13,"Matinada"
"2011",21,"Tardor","0","0","Molt Bo",21.32,25,77,0,187,"Vespre"
"2011",23,"Estiu","0","1","Molt Bo",30.34,32.575,37,6.0032,108,"Vespre"
"2011",17,"Hivern","0","1","Molt Bo",13.94,17.425,34,6.0032,242,"Vespre"
"2012",0,"Estiu","0","1","Molt Bo",28.7,32.575,65,6.0032,85,"Matinada"
"2012",18,"Primavera","0","1","Molt Bo",22.96,26.515,35,31.0009,646,"Vespre"
"2012",4,"Estiu","0","1","Molt Bo",27.88,31.82,65,7.0015,6,"Matinada"
"2012",21,"Hivern","0","0","Molt Bo",5.74,3.79,43,31.0009,48,"Vespre"
"2012",14,"Tardor","0","1","Molt Bo",18.86,22.725,38,12.998,274,"Matí"
"2011",6,"Hivern","0","1","Bo",4.92,6.06,54,19.0012,26,"Matinada"
"2011",15,"Primavera","0","1","Molt Bo",28.7,31.82,37,30.0026,185,"Matí"
"2011",9,"Primavera","0","1","Molt Bo",14.76,16.665,46,16.9979,165,"Matí"
"2011",17,"Estiu","1","0","Molt Bo",32.8,36.365,46,0,436,"Vespre"
"2011",12,"Hivern","0","1","Molt Bo",15.58,19.695,32,22.0028,86,"Matí"
"2012",4,"Hivern","0","1","Bo",16.4,20.455,87,16.9979,3,"Matinada"
"2011",19,"Primavera","0","0","Bo",17.22,21.21,44,12.998,144,"Vespre"
"2011",20,"Tardor","0","1","Bo",19.68,23.485,82,8.9981,238,"Vespre"
"2012",16,"Tardor","0","0","Molt Bo",24.6,31.06,43,31.0009,646,"Matí"
"2012",5,"Tardor","0","1","Bo",15.58,19.695,82,12.998,19,"Matinada"
"2011",13,"Tardor","0","1","Molt Bo",22.14,25.76,49,11.0014,196,"Matí"
"2012",8,"Estiu","1","0","Molt Bo",28.7,32.575,61,7.0015,153,"Matinada"
"2011",0,"Hivern","0","1","Molt Bo",12.3,13.635,70,31.0009,7,"Matinada"
"2011",20,"Hivern","0","1","Bo",13.12,16.665,70,7.0015,88,"Vespre"
"2012",17,"Estiu","0","1","Molt Bo",32.8,34.85,31,15.0013,646,"Vespre"
"2012",9,"Hivern","0","0","Molt Bo",5.74,8.335,50,7.0015,81,"Matí"
"2011",11,"Tardor","0","0","Molt Bo",13.12,16.665,57,6.0032,275,"Matí"
"2012",18,"Estiu","0","0","Bo",26.24,31.06,36,19.0012,614,"Vespre"
"2011",6,"Hivern","0","1","Dolent",5.74,10.605,93,0,22,"Matinada"
"2011",0,"Hivern","0","1","Molt Bo",12.3,13.635,49,27.9993,19,"Matinada"
"2012",0,"Estiu","0","1","Molt Bo",29.52,35.605,84,7.0015,53,"Matinada"
"2012",18,"Primavera","0","1","Molt Bo",28.7,31.82,34,19.0012,646,"Vespre"
"2011",19,"Tardor","0","0","Molt Bo",12.3,15.91,61,6.0032,175,"Vespre"
"2012",13,"Tardor","0","1","Molt Bo",18.04,21.97,18,27.9993,228,"Matí"
"2011",22,"Hivern","0","0","Molt Bo",10.66,13.635,93,8.9981,45,"Vespre"
"2011",1,"Hivern","0","1","Bo",6.56,9.09,86,7.0015,6,"Matinada"
"2011",13,"Tardor","0","1","Molt Bo",16.4,20.455,47,8.9981,207,"Matí"
"2011",16,"Primavera","0","0","Molt Bo",22.14,25.76,30,23.9994,343,"Matí"
"2012",2,"Primavera","0","1","Bo",17.22,21.21,77,0,6,"Matinada"
"2012",13,"Tardor","0","1","Molt Bo",13.94,16.665,46,8.9981,278,"Matí"
"2011",0,"Estiu","0","1","Molt Bo",25.42,29.545,78,6.0032,33,"Matinada"
"2012",3,"Tardor","0","0","Bo",12.3,15.15,81,11.0014,46,"Matinada"
"2011",19,"Tardor","0","0","Dolent",9.84,10.605,65,22.0028,106,"Vespre"
"2011",11,"Hivern","0","1","Molt Bo",8.2,11.365,29,6.0032,50,"Matí"
"2012",17,"Primavera","1","0","Molt Bo",32.8,34.85,33,26.0027,646,"Vespre"
"2012",2,"Estiu","0","1","Molt Bo",28.7,33.335,74,8.9981,16,"Matinada"
"2011",1,"Tardor","0","1","Molt Bo",13.94,18.18,87,0,10,"Matinada"
"2011",15,"Tardor","0","1","Molt Bo",19.68,23.485,51,11.0014,187,"Matí"
"2011",16,"Estiu","0","1","Bo",24.6,30.305,60,11.0014,263,"Matí"
"2012",15,"Estiu","0","1","Molt Bo",34.44,38.635,47,6.0032,292,"Matí"
"2012",21,"Estiu","0","0","Bo",24.6,28.03,83,11.0014,181,"Vespre"
"2011",14,"Hivern","0","0","Bo",16.4,20.455,30,27.9993,161,"Matí"
"2011",8,"Primavera","0","0","Bo",18.04,21.97,77,8.9981,59,"Matinada"
"2012",19,"Hivern","0","0","Molt Bo",6.56,8.335,37,11.0014,110,"Vespre"
"2011",6,"Hivern","0","1","Molt Bo",4.92,7.575,54,8.9981,28,"Matinada"
"2012",8,"Hivern","0","1","Dolent",16.4,20.455,87,0,445,"Matinada"
"2012",17,"Primavera","0","1","Molt Bo",26.24,30.305,23,16.9979,646,"Vespre"
"2012",14,"Primavera","0","1","Molt Bo",19.68,23.485,29,26.0027,490,"Matí"
"2011",15,"Hivern","0","1","Molt Bo",11.48,13.635,52,16.9979,65,"Matí"
"2011",8,"Estiu","0","1","Molt Bo",26.24,31.06,50,23.9994,486,"Matinada"
"2011",21,"Estiu","1","0","Bo",27.06,29.545,94,19.9995,60,"Vespre"
"2012",1,"Tardor","0","1","Molt Bo",18.04,21.97,77,6.0032,18,"Matinada"
"2012",12,"Hivern","0","0","Bo",10.66,12.88,81,11.0014,221,"Matí"
"2011",2,"Primavera","0","1","Molt Bo",15.58,19.695,62,7.0015,16,"Matinada"
"2011",2,"Estiu","0","0","Molt Bo",26.24,30.305,69,15.0013,94,"Matinada"
"2011",2,"Tardor","0","1","Molt Bo",11.48,13.635,65,15.0013,4,"Matinada"
"2011",12,"Primavera","1","0","Molt Bo",21.32,25,55,19.0012,200,"Matí"
"2011",8,"Tardor","0","1","Molt Bo",9.84,14.395,81,0,385,"Matinada"
"2012",4,"Estiu","0","1","Bo",27.06,31.06,61,0,11,"Matinada"
"2012",13,"Estiu","0","0","Molt Bo",38.54,43.94,38,16.9979,337,"Matí"
"2012",4,"Tardor","1","0","Molt Bo",16.4,20.455,76,6.0032,4,"Matinada"
"2011",12,"Tardor","0","1","Molt Bo",20.5,24.24,48,6.0032,176,"Matí"
"2011",23,"Primavera","1","0","Bo",14.76,17.425,81,12.998,64,"Vespre"
"2011",13,"Tardor","0","1","Dolent",18.86,22.725,94,8.9981,58,"Matí"
"2011",0,"Hivern","0","1","Dolent",8.2,9.09,100,22.0028,4,"Matinada"
"2012",23,"Hivern","0","1","Molt Bo",4.1,3.79,46,26.0027,18,"Vespre"
"2012",4,"Hivern","0","0","Molt Bo",13.12,16.665,57,6.0032,10,"Matinada"
"2011",16,"Hivern","0","0","Bo",19.68,23.485,59,19.9995,204,"Matí"
"2011",16,"Estiu","0","0","Molt Bo",36.08,37.12,22,15.0013,398,"Matí"
"2012",21,"Hivern","0","1","Bo",13.12,16.665,66,6.0032,122,"Vespre"
"2012",7,"Hivern","0","1","Molt Bo",8.2,10.605,59,11.0014,230,"Matinada"
"2011",6,"Tardor","0","1","Molt Bo",6.56,9.09,80,7.0015,64,"Matinada"
"2012",10,"Primavera","0","1","Molt Bo",29.52,34.09,62,11.0014,147,"Matí"
"2011",16,"Primavera","1","0","Molt Bo",21.32,25,55,31.0009,243,"Matí"
"2012",10,"Tardor","0","1","Molt Bo",13.12,16.665,70,7.0015,164,"Matí"
"2011",12,"Hivern","0","1","Molt Bo",12.3,15.15,39,8.9981,86,"Matí"
"2012",18,"Tardor","0","0","Molt Bo",21.32,25,48,27.9993,495,"Vespre"
"2012",5,"Primavera","0","1","Molt Bo",15.58,19.695,43,19.0012,29,"Matinada"
"2012",5,"Primavera","0","1","Molt Bo",22.14,25.76,88,7.0015,33,"Matinada"
"2011",5,"Primavera","0","0","Dolent",21.32,25,100,7.0015,14,"Matinada"
"2012",19,"Tardor","0","0","Molt Bo",19.68,23.485,55,15.0013,341,"Vespre"
"2011",21,"Primavera","0","0","Molt Bo",21.32,25,77,6.0032,127,"Vespre"
"2012",12,"Estiu","0","1","Molt Bo",31.16,36.365,70,19.0012,287,"Matí"
"2012",13,"Tardor","0","1","Molt Bo",18.86,22.725,38,19.9995,299,"Matí"
"2011",7,"Hivern","0","1","Molt Bo",3.28,8.335,73,0,74,"Matinada"
"2012",16,"Estiu","0","0","Molt Bo",31.16,34.09,40,7.0015,513,"Matí"
"2012",18,"Primavera","0","1","Molt Bo",28.7,32.575,54,8.9981,646,"Vespre"
"2011",20,"Tardor","0","0","Molt Bo",9.02,10.605,69,16.9979,106,"Vespre"
"2011",13,"Primavera","0","1","Bo",22.14,25.76,68,15.0013,129,"Matí"
"2012",21,"Primavera","0","1","Molt Bo",21.32,25,77,15.0013,239,"Vespre"
"2011",8,"Estiu","0","1","Molt Bo",17.22,21.21,67,15.0013,409,"Matinada"
"2012",19,"Tardor","0","1","Molt Bo",14.76,17.425,46,15.0013,332,"Vespre"
"2012",6,"Primavera","0","1","Molt Bo",18.86,22.725,88,7.0015,170,"Matinada"
"2011",4,"Primavera","0","1","Bo",22.96,26.515,68,7.0015,6,"Matinada"
"2011",6,"Hivern","0","1","Bo",9.02,12.88,93,6.0032,32,"Matinada"
"2012",11,"Tardor","0","0","Molt Bo",17.22,21.21,35,8.9981,527,"Matí"
"2011",5,"Primavera","0","1","Molt Bo",13.94,15.91,76,15.0013,6,"Matinada"
"2012",7,"Primavera","0","1","Bo",24.6,28.79,78,8.9981,480,"Matinada"
"2011",11,"Primavera","0","1","Molt Bo",21.32,25,45,11.0014,115,"Matí"
"2012",6,"Hivern","0","1","Molt Bo",11.48,12.88,61,26.0027,108,"Matinada"
"2011",9,"Estiu","0","0","Molt Bo",28.7,32.575,54,15.0013,222,"Matí"
"2011",11,"Tardor","0","1","Molt Bo",22.14,25.76,49,0,144,"Matí"
"2011",0,"Primavera","0","0","Bo",12.3,16.665,61,0,32,"Matinada"
"2011",19,"Tardor","0","1","Molt Bo",22.96,26.515,60,7.0015,317,"Vespre"
"2011",21,"Estiu","0","1","Bo",28.7,33.335,74,12.998,211,"Vespre"
"2012",4,"Estiu","0","1","Bo",21.32,25,68,23.9994,10,"Matinada"
"2011",5,"Estiu","0","1","Molt Bo",26.24,29.545,78,7.0015,17,"Matinada"
"2012",23,"Primavera","0","1","Molt Bo",22.14,25.76,37,12.998,180,"Vespre"
"2012",10,"Estiu","0","1","Molt Bo",33.62,37.12,43,15.0013,209,"Matí"
"2011",8,"Primavera","0","0","Dolent",20.5,24.24,94,0,88,"Matinada"
"2011",12,"Primavera","0","1","Molt Bo",25.42,30.305,69,15.0013,187,"Matí"
"2011",11,"Primavera","0","0","Molt Bo",17.22,21.21,41,16.9979,243,"Matí"
"2012",14,"Hivern","0","1","Dolent",13.12,15.91,81,12.998,31,"Matí"
"2011",14,"Hivern","0","1","Molt Bo",27.06,31.06,39,16.9979,174,"Matí"
"2011",1,"Primavera","0","1","Molt Bo",22.96,26.515,94,8.9981,23,"Matinada"
"2011",8,"Primavera","0","1","Molt Bo",23.78,27.275,53,8.9981,498,"Matinada"
"2011",17,"Tardor","0","1","Bo",24.6,28.79,78,16.9979,604,"Vespre"
"2011",7,"Estiu","0","1","Bo",22.14,25.76,83,23.9994,172,"Matinada"
"2011",5,"Primavera","0","1","Molt Bo",16.4,20.455,76,6.0032,16,"Matinada"
"2011",6,"Estiu","0","1","Molt Bo",24.6,27.275,88,16.9979,90,"Matinada"
"2011",18,"Tardor","0","0","Molt Bo",13.94,16.665,53,8.9981,224,"Vespre"
"2012",4,"Estiu","0","1","Molt Bo",25.42,29.545,73,15.0013,5,"Matinada"
"2011",10,"Hivern","0","0","Molt Bo",12.3,13.635,45,22.0028,105,"Matí"
"2012",10,"Estiu","0","1","Molt Bo",31.16,35.605,62,12.998,190,"Matí"
"2012",9,"Primavera","0","0","Molt Bo",24.6,31.06,56,8.9981,222,"Matí"
"2011",0,"Hivern","0","1","Molt Bo",5.74,6.06,59,19.0012,7,"Matinada"
"2011",14,"Primavera","0","1","Bo",28.7,32.575,58,31.0009,158,"Matí"
"2012",1,"Hivern","0","1","Molt Bo",11.48,13.635,61,11.0014,10,"Matinada"
"2012",23,"Tardor","0","1","Molt Bo",10.66,15.15,60,0,120,"Vespre"
"2012",13,"Estiu","0","1","Molt Bo",34.44,39.395,49,19.0012,239,"Matí"
"2012",9,"Hivern","0","0","Molt Bo",13.12,16.665,53,8.9981,125,"Matí"
"2011",22,"Tardor","0","1","Molt Bo",12.3,15.15,52,11.0014,107,"Vespre"
"2012",10,"Tardor","0","1","Molt Bo",13.12,15.15,45,19.0012,167,"Matí"
"2011",10,"Tardor","0","0","Molt Bo",14.76,18.18,66,6.0032,262,"Matí"
"2011",23,"Primavera","0","1","Molt Bo",31.16,37.12,75,12.998,116,"Vespre"
"2012",3,"Tardor","0","1","Molt Bo",8.2,11.365,69,7.0015,12,"Matinada"
"2012",1,"Hivern","0","1","Dolent",14.76,17.425,93,12.998,3,"Matinada"
"2011",11,"Hivern","0","0","Molt Bo",18.86,22.725,36,30.0026,196,"Matí"
"2011",17,"Hivern","1","0","Molt Bo",8.2,9.85,51,12.998,71,"Vespre"
"2011",3,"Primavera","0","0","Molt Bo",9.84,12.12,70,11.0014,9,"Matinada"
"2011",3,"Tardor","0","0","Dolent",13.94,15.91,87,19.0012,9,"Matinada"
"2011",13,"Primavera","0","1","Bo",22.96,26.515,88,22.0028,172,"Matí"
"2012",6,"Primavera","0","1","Dolent",21.32,25,94,19.9995,65,"Matinada"
"2011",22,"Tardor","0","1","Bo",12.3,15.15,49,11.0014,106,"Vespre"
"2011",21,"Hivern","0","1","Dolent",6.56,9.85,86,6.0032,20,"Vespre"
"2012",21,"Estiu","0","1","Molt Bo",29.52,33.335,58,15.0013,391,"Vespre"
"2012",0,"Estiu","0","0","Molt Bo",27.88,31.82,89,11.0014,187,"Matinada"
"2012",12,"Primavera","0","1","Molt Bo",26.24,31.06,41,30.0026,282,"Matí"
"2012",1,"Hivern","0","1","Molt Bo",11.48,14.395,61,8.9981,14,"Matinada"
"2011",15,"Primavera","0","1","Molt Bo",26.24,31.06,41,0,179,"Matí"
"2011",6,"Primavera","0","1","Bo",20.5,24.24,94,0,103,"Matinada"
"2012",15,"Primavera","0","1","Molt Bo",24.6,31.06,43,0,262,"Matí"
"2011",21,"Estiu","0","1","Molt Bo",28.7,32.575,48,6.0032,206,"Vespre"
"2011",20,"Estiu","0","0","Molt Bo",30.34,34.85,70,19.9995,229,"Vespre"
"2012",23,"Estiu","0","1","Bo",28.7,32.575,65,7.0015,131,"Vespre"
"2011",16,"Hivern","0","1","Molt Bo",10.66,12.88,38,11.0014,86,"Matí"
"2011",2,"Estiu","0","0","Molt Bo",18.86,22.725,82,6.0032,79,"Matinada"
"2011",22,"Hivern","0","1","Molt Bo",13.94,16.665,53,12.998,73,"Vespre"
"2011",18,"Estiu","0","1","Molt Bo",31.16,35.605,58,31.0009,425,"Vespre"
"2012",8,"Hivern","0","1","Molt Bo",6.56,9.09,59,7.0015,501,"Matinada"
"2012",0,"Tardor","0","1","Bo",15.58,19.695,87,0,28,"Matinada"
"2011",10,"Hivern","0","0","Molt Bo",9.02,10.605,51,19.0012,79,"Matí"
"2011",22,"Primavera","0","1","Molt Bo",15.58,19.695,62,15.0013,89,"Vespre"
"2012",1,"Tardor","0","1","Bo",12.3,15.15,56,11.0014,8,"Matinada"
"2012",4,"Estiu","0","0","Molt Bo",26.24,30.305,69,6.0032,10,"Matinada"
"2012",4,"Tardor","0","0","Bo",16.4,20.455,94,7.0015,12,"Matinada"
"2012",9,"Tardor","0","1","Bo",12.3,15.15,81,8.9981,301,"Matí"
"2011",10,"Estiu","0","1","Molt Bo",32.8,37.12,52,26.0027,124,"Matí"
"2011",14,"Estiu","0","0","Molt Bo",31.98,37.88,66,22.0028,361,"Matí"
"2011",21,"Primavera","0","0","Molt Bo",20.5,24.24,42,12.998,83,"Vespre"
"2011",10,"Hivern","0","0","Molt Bo",15.58,19.695,76,16.9979,36,"Matí"
"2012",8,"Hivern","0","1","Molt Bo",8.2,11.365,82,7.0015,499,"Matinada"
"2012",1,"Hivern","0","0","Bo",6.56,6.82,47,19.9995,42,"Matinada"
"2011",15,"Hivern","0","1","Bo",14.76,18.94,18,0,112,"Matí"
"2011",2,"Tardor","0","1","Bo",21.32,25,94,8.9981,5,"Matinada"
"2012",6,"Primavera","0","1","Molt Bo",24.6,31.06,46,16.9979,144,"Matinada"
"2011",2,"Primavera","0","1","Molt Bo",22.96,26.515,43,15.0013,12,"Matinada"
"2012",1,"Tardor","0","0","Molt Bo",22.96,26.515,83,16.9979,141,"Matinada"
"2011",21,"Primavera","0","1","Molt Bo",27.06,31.06,31,12.998,248,"Vespre"
"2012",17,"Primavera","0","1","Molt Bo",26.24,30.305,25,19.9995,646,"Vespre"
"2011",21,"Tardor","0","1","Dolent",12.3,12.88,87,31.0009,6,"Vespre"
"2011",1,"Primavera","0","1","Molt Bo",18.86,22.725,63,15.0013,7,"Matinada"
"2011",18,"Tardor","0","1","Bo",20.5,24.24,72,19.0012,441,"Vespre"
"2011",19,"Estiu","0","1","Molt Bo",28.7,32.575,65,0,397,"Vespre"
"2011",1,"Estiu","0","1","Molt Bo",27.88,31.82,83,8.9981,12,"Matinada"
"2011",18,"Tardor","0","1","Dolent",18.86,22.725,88,26.0027,189,"Vespre"
"2012",18,"Hivern","0","0","Molt Bo",6.56,6.06,40,31.0009,96,"Vespre"
"2012",4,"Tardor","0","1","Molt Bo",9.02,12.88,69,6.0032,7,"Matinada"
"2012",6,"Estiu","0","1","Bo",27.88,31.82,89,7.0015,172,"Matinada"
"2012",22,"Estiu","0","0","Molt Bo",29.52,34.85,79,6.0032,157,"Vespre"
"2011",16,"Estiu","1","0","Molt Bo",33.62,37.12,41,0,452,"Matí"
"2011",10,"Primavera","0","1","Bo",13.94,15.91,93,19.0012,31,"Matí"
"2012",23,"Estiu","0","0","Dolent",27.06,30.305,78,11.0014,163,"Vespre"
"2011",14,"Tardor","0","1","Molt Bo",14.76,17.425,46,15.0013,137,"Matí"
"2011",20,"Estiu","0","0","Molt Bo",29.52,35.605,84,8.9981,183,"Vespre"
"2011",7,"Tardor","0","1","Dolent",21.32,25,77,16.9979,68,"Matinada"
"2012",21,"Primavera","0","0","Molt Bo",30.34,32.575,40,12.998,316,"Vespre"
"2012",12,"Tardor","0","1","Bo",21.32,25,48,11.0014,332,"Matí"
"2012",6,"Estiu","0","1","Bo",28.7,32.575,54,0,127,"Matinada"
"2011",22,"Estiu","0","1","Molt Bo",30.34,32.575,37,0,139,"Vespre"
"2012",17,"Tardor","0","1","Molt Bo",13.12,15.15,53,15.0013,627,"Vespre"
"2012",18,"Primavera","0","1","Dolent",24.6,31.06,53,12.998,646,"Vespre"
"2012",17,"Estiu","0","1","Bo",26.24,30.305,65,15.0013,646,"Vespre"
